// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in D:\Development\OzWorks\Oz\bin\Debug\netcoreapp3.1\ad3d6880-cd4e-4071-93ee-249f077d411f
// command took 2.58s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in D:\Development\OzWorks\Oz\bin\Debug\netcoreapp3.1\ad3d6880-cd4e-4071-93ee-249f077d411f
// command took 6.47s and exited with 0
// ***** Done, took 00:00:09 (9.23 sec)   *****
// Found 4 benchmarks:
//   QuickVsInsertBenchmark.QuickSortWithSameValues: Job-EJIXGU(InvocationCount=1, UnrollFactor=1)
//   QuickVsInsertBenchmark.InsertSortWithSameValues: Job-EJIXGU(InvocationCount=1, UnrollFactor=1)
//   QuickVsInsertBenchmark.QuickSortWithDifferentValues: Job-EJIXGU(InvocationCount=1, UnrollFactor=1)
//   QuickVsInsertBenchmark.InsertSortWithDifferentValues: Job-EJIXGU(InvocationCount=1, UnrollFactor=1)

// **************************
// Benchmark: QuickVsInsertBenchmark.QuickSortWithSameValues: Job-EJIXGU(InvocationCount=1, UnrollFactor=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "ad3d6880-cd4e-4071-93ee-249f077d411f.dll" --benchmarkName "Oz.QuickVsInsertBenchmark.QuickSortWithSameValues" --job "InvocationCount=1, UnrollFactor=1" --benchmarkId 0 in D:\Development\OzWorks\Oz\bin\Debug\netcoreapp3.1\ad3d6880-cd4e-4071-93ee-249f077d411f\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.10 (CoreCLR 4.700.20.51601, CoreFX 4.700.20.51901), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-VYTYSG(InvocationCount=1, UnrollFactor=1)

WorkloadWarmup   4: 1 op, 172700.00 ns, 172.7000 us/op
WorkloadWarmup   5: 1 op, 174100.00 ns, 174.1000 us/op
WorkloadWarmup   6: 1 op, 297300.00 ns, 297.3000 us/op
WorkloadWarmup   7: 1 op, 173400.00 ns, 173.4000 us/op
WorkloadWarmup   8: 1 op, 169200.00 ns, 169.2000 us/op
WorkloadWarmup   9: 1 op, 172000.00 ns, 172.0000 us/op
WorkloadWarmup  10: 1 op, 178700.00 ns, 178.7000 us/op
WorkloadWarmup  11: 1 op, 245900.00 ns, 245.9000 us/op
WorkloadWarmup  12: 1 op, 270700.00 ns, 270.7000 us/op
WorkloadWarmup  13: 1 op, 192100.00 ns, 192.1000 us/op

// BeforeActualRun
WorkloadActual   1: 1 op, 169500.00 ns, 169.5000 us/op
WorkloadActual   2: 1 op, 181100.00 ns, 181.1000 us/op
WorkloadActual   3: 1 op, 168800.00 ns, 168.8000 us/op
WorkloadActual   4: 1 op, 299400.00 ns, 299.4000 us/op
WorkloadActual   5: 1 op, 169300.00 ns, 169.3000 us/op
WorkloadActual   6: 1 op, 172200.00 ns, 172.2000 us/op
WorkloadActual   7: 1 op, 168600.00 ns, 168.6000 us/op
WorkloadActual   8: 1 op, 170600.00 ns, 170.6000 us/op
WorkloadActual   9: 1 op, 172700.00 ns, 172.7000 us/op
WorkloadActual  10: 1 op, 239300.00 ns, 239.3000 us/op
WorkloadActual  11: 1 op, 410600.00 ns, 410.6000 us/op
WorkloadActual  12: 1 op, 169100.00 ns, 169.1000 us/op
WorkloadActual  13: 1 op, 169200.00 ns, 169.2000 us/op
WorkloadActual  14: 1 op, 290800.00 ns, 290.8000 us/op
WorkloadActual  15: 1 op, 177900.00 ns, 177.9000 us/op
WorkloadActual  16: 1 op, 187000.00 ns, 187.0000 us/op
WorkloadActual  17: 1 op, 173200.00 ns, 173.2000 us/op
WorkloadActual  18: 1 op, 176400.00 ns, 176.4000 us/op
WorkloadActual  19: 1 op, 170000.00 ns, 170.0000 us/op
WorkloadActual  20: 1 op, 172900.00 ns, 172.9000 us/op
WorkloadActual  21: 1 op, 176400.00 ns, 176.4000 us/op
WorkloadActual  22: 1 op, 179900.00 ns, 179.9000 us/op
WorkloadActual  23: 1 op, 251900.00 ns, 251.9000 us/op
WorkloadActual  24: 1 op, 280600.00 ns, 280.6000 us/op
WorkloadActual  25: 1 op, 172700.00 ns, 172.7000 us/op
WorkloadActual  26: 1 op, 173200.00 ns, 173.2000 us/op
WorkloadActual  27: 1 op, 169200.00 ns, 169.2000 us/op
WorkloadActual  28: 1 op, 171100.00 ns, 171.1000 us/op
WorkloadActual  29: 1 op, 279400.00 ns, 279.4000 us/op
WorkloadActual  30: 1 op, 312500.00 ns, 312.5000 us/op
WorkloadActual  31: 1 op, 171200.00 ns, 171.2000 us/op
WorkloadActual  32: 1 op, 205900.00 ns, 205.9000 us/op
WorkloadActual  33: 1 op, 175100.00 ns, 175.1000 us/op
WorkloadActual  34: 1 op, 169700.00 ns, 169.7000 us/op
WorkloadActual  35: 1 op, 169100.00 ns, 169.1000 us/op
WorkloadActual  36: 1 op, 417400.00 ns, 417.4000 us/op
WorkloadActual  37: 1 op, 182600.00 ns, 182.6000 us/op
WorkloadActual  38: 1 op, 181900.00 ns, 181.9000 us/op
WorkloadActual  39: 1 op, 173800.00 ns, 173.8000 us/op
WorkloadActual  40: 1 op, 170600.00 ns, 170.6000 us/op
WorkloadActual  41: 1 op, 177700.00 ns, 177.7000 us/op
WorkloadActual  42: 1 op, 228000.00 ns, 228.0000 us/op
WorkloadActual  43: 1 op, 175700.00 ns, 175.7000 us/op
WorkloadActual  44: 1 op, 169200.00 ns, 169.2000 us/op
WorkloadActual  45: 1 op, 181400.00 ns, 181.4000 us/op
WorkloadActual  46: 1 op, 168900.00 ns, 168.9000 us/op
WorkloadActual  47: 1 op, 381600.00 ns, 381.6000 us/op
WorkloadActual  48: 1 op, 522900.00 ns, 522.9000 us/op
WorkloadActual  49: 1 op, 462500.00 ns, 462.5000 us/op
WorkloadActual  50: 1 op, 173600.00 ns, 173.6000 us/op
WorkloadActual  51: 1 op, 176900.00 ns, 176.9000 us/op
WorkloadActual  52: 1 op, 169300.00 ns, 169.3000 us/op
WorkloadActual  53: 1 op, 212000.00 ns, 212.0000 us/op
WorkloadActual  54: 1 op, 207000.00 ns, 207.0000 us/op
WorkloadActual  55: 1 op, 170000.00 ns, 170.0000 us/op
WorkloadActual  56: 1 op, 169300.00 ns, 169.3000 us/op
WorkloadActual  57: 1 op, 169200.00 ns, 169.2000 us/op
WorkloadActual  58: 1 op, 217800.00 ns, 217.8000 us/op
WorkloadActual  59: 1 op, 172600.00 ns, 172.6000 us/op
WorkloadActual  60: 1 op, 174900.00 ns, 174.9000 us/op
WorkloadActual  61: 1 op, 173400.00 ns, 173.4000 us/op
WorkloadActual  62: 1 op, 172900.00 ns, 172.9000 us/op
WorkloadActual  63: 1 op, 263100.00 ns, 263.1000 us/op
WorkloadActual  64: 1 op, 252500.00 ns, 252.5000 us/op
WorkloadActual  65: 1 op, 255900.00 ns, 255.9000 us/op
WorkloadActual  66: 1 op, 130300.00 ns, 130.3000 us/op
WorkloadActual  67: 1 op, 127300.00 ns, 127.3000 us/op
WorkloadActual  68: 1 op, 239700.00 ns, 239.7000 us/op
WorkloadActual  69: 1 op, 130700.00 ns, 130.7000 us/op
WorkloadActual  70: 1 op, 126600.00 ns, 126.6000 us/op
WorkloadActual  71: 1 op, 124200.00 ns, 124.2000 us/op
WorkloadActual  72: 1 op, 122900.00 ns, 122.9000 us/op
WorkloadActual  73: 1 op, 126500.00 ns, 126.5000 us/op
WorkloadActual  74: 1 op, 221900.00 ns, 221.9000 us/op
WorkloadActual  75: 1 op, 196500.00 ns, 196.5000 us/op
WorkloadActual  76: 1 op, 210500.00 ns, 210.5000 us/op
WorkloadActual  77: 1 op, 188100.00 ns, 188.1000 us/op
WorkloadActual  78: 1 op, 190400.00 ns, 190.4000 us/op
WorkloadActual  79: 1 op, 126900.00 ns, 126.9000 us/op
WorkloadActual  80: 1 op, 204500.00 ns, 204.5000 us/op
WorkloadActual  81: 1 op, 265200.00 ns, 265.2000 us/op
WorkloadActual  82: 1 op, 193400.00 ns, 193.4000 us/op
WorkloadActual  83: 1 op, 203400.00 ns, 203.4000 us/op
WorkloadActual  84: 1 op, 218100.00 ns, 218.1000 us/op
WorkloadActual  85: 1 op, 184000.00 ns, 184.0000 us/op
WorkloadActual  86: 1 op, 123900.00 ns, 123.9000 us/op
WorkloadActual  87: 1 op, 401000.00 ns, 401.0000 us/op
WorkloadActual  88: 1 op, 241500.00 ns, 241.5000 us/op
WorkloadActual  89: 1 op, 210300.00 ns, 210.3000 us/op
WorkloadActual  90: 1 op, 126900.00 ns, 126.9000 us/op
WorkloadActual  91: 1 op, 126800.00 ns, 126.8000 us/op
WorkloadActual  92: 1 op, 126700.00 ns, 126.7000 us/op
WorkloadActual  93: 1 op, 235700.00 ns, 235.7000 us/op
WorkloadActual  94: 1 op, 216200.00 ns, 216.2000 us/op
WorkloadActual  95: 1 op, 125400.00 ns, 125.4000 us/op
WorkloadActual  96: 1 op, 138500.00 ns, 138.5000 us/op
WorkloadActual  97: 1 op, 130000.00 ns, 130.0000 us/op
WorkloadActual  98: 1 op, 128300.00 ns, 128.3000 us/op
WorkloadActual  99: 1 op, 189800.00 ns, 189.8000 us/op
WorkloadActual  100: 1 op, 216900.00 ns, 216.9000 us/op

// AfterActualRun
WorkloadResult   1: 1 op, 168900.00 ns, 168.9000 us/op
WorkloadResult   2: 1 op, 180500.00 ns, 180.5000 us/op
WorkloadResult   3: 1 op, 168200.00 ns, 168.2000 us/op
WorkloadResult   4: 1 op, 168700.00 ns, 168.7000 us/op
WorkloadResult   5: 1 op, 171600.00 ns, 171.6000 us/op
WorkloadResult   6: 1 op, 168000.00 ns, 168.0000 us/op
WorkloadResult   7: 1 op, 170000.00 ns, 170.0000 us/op
WorkloadResult   8: 1 op, 172100.00 ns, 172.1000 us/op
WorkloadResult   9: 1 op, 238700.00 ns, 238.7000 us/op
WorkloadResult  10: 1 op, 168500.00 ns, 168.5000 us/op
WorkloadResult  11: 1 op, 168600.00 ns, 168.6000 us/op
WorkloadResult  12: 1 op, 177300.00 ns, 177.3000 us/op
WorkloadResult  13: 1 op, 186400.00 ns, 186.4000 us/op
WorkloadResult  14: 1 op, 172600.00 ns, 172.6000 us/op
WorkloadResult  15: 1 op, 175800.00 ns, 175.8000 us/op
WorkloadResult  16: 1 op, 169400.00 ns, 169.4000 us/op
WorkloadResult  17: 1 op, 172300.00 ns, 172.3000 us/op
WorkloadResult  18: 1 op, 175800.00 ns, 175.8000 us/op
WorkloadResult  19: 1 op, 179300.00 ns, 179.3000 us/op
WorkloadResult  20: 1 op, 251300.00 ns, 251.3000 us/op
WorkloadResult  21: 1 op, 280000.00 ns, 280.0000 us/op
WorkloadResult  22: 1 op, 172100.00 ns, 172.1000 us/op
WorkloadResult  23: 1 op, 172600.00 ns, 172.6000 us/op
WorkloadResult  24: 1 op, 168600.00 ns, 168.6000 us/op
WorkloadResult  25: 1 op, 170500.00 ns, 170.5000 us/op
WorkloadResult  26: 1 op, 278800.00 ns, 278.8000 us/op
WorkloadResult  27: 1 op, 170600.00 ns, 170.6000 us/op
WorkloadResult  28: 1 op, 205300.00 ns, 205.3000 us/op
WorkloadResult  29: 1 op, 174500.00 ns, 174.5000 us/op
WorkloadResult  30: 1 op, 169100.00 ns, 169.1000 us/op
WorkloadResult  31: 1 op, 168500.00 ns, 168.5000 us/op
WorkloadResult  32: 1 op, 182000.00 ns, 182.0000 us/op
WorkloadResult  33: 1 op, 181300.00 ns, 181.3000 us/op
WorkloadResult  34: 1 op, 173200.00 ns, 173.2000 us/op
WorkloadResult  35: 1 op, 170000.00 ns, 170.0000 us/op
WorkloadResult  36: 1 op, 177100.00 ns, 177.1000 us/op
WorkloadResult  37: 1 op, 227400.00 ns, 227.4000 us/op
WorkloadResult  38: 1 op, 175100.00 ns, 175.1000 us/op
WorkloadResult  39: 1 op, 168600.00 ns, 168.6000 us/op
WorkloadResult  40: 1 op, 180800.00 ns, 180.8000 us/op
WorkloadResult  41: 1 op, 168300.00 ns, 168.3000 us/op
WorkloadResult  42: 1 op, 173000.00 ns, 173.0000 us/op
WorkloadResult  43: 1 op, 176300.00 ns, 176.3000 us/op
WorkloadResult  44: 1 op, 168700.00 ns, 168.7000 us/op
WorkloadResult  45: 1 op, 211400.00 ns, 211.4000 us/op
WorkloadResult  46: 1 op, 206400.00 ns, 206.4000 us/op
WorkloadResult  47: 1 op, 169400.00 ns, 169.4000 us/op
WorkloadResult  48: 1 op, 168700.00 ns, 168.7000 us/op
WorkloadResult  49: 1 op, 168600.00 ns, 168.6000 us/op
WorkloadResult  50: 1 op, 217200.00 ns, 217.2000 us/op
WorkloadResult  51: 1 op, 172000.00 ns, 172.0000 us/op
WorkloadResult  52: 1 op, 174300.00 ns, 174.3000 us/op
WorkloadResult  53: 1 op, 172800.00 ns, 172.8000 us/op
WorkloadResult  54: 1 op, 172300.00 ns, 172.3000 us/op
WorkloadResult  55: 1 op, 262500.00 ns, 262.5000 us/op
WorkloadResult  56: 1 op, 251900.00 ns, 251.9000 us/op
WorkloadResult  57: 1 op, 255300.00 ns, 255.3000 us/op
WorkloadResult  58: 1 op, 129700.00 ns, 129.7000 us/op
WorkloadResult  59: 1 op, 126700.00 ns, 126.7000 us/op
WorkloadResult  60: 1 op, 239100.00 ns, 239.1000 us/op
WorkloadResult  61: 1 op, 130100.00 ns, 130.1000 us/op
WorkloadResult  62: 1 op, 126000.00 ns, 126.0000 us/op
WorkloadResult  63: 1 op, 123600.00 ns, 123.6000 us/op
WorkloadResult  64: 1 op, 122300.00 ns, 122.3000 us/op
WorkloadResult  65: 1 op, 125900.00 ns, 125.9000 us/op
WorkloadResult  66: 1 op, 221300.00 ns, 221.3000 us/op
WorkloadResult  67: 1 op, 195900.00 ns, 195.9000 us/op
WorkloadResult  68: 1 op, 209900.00 ns, 209.9000 us/op
WorkloadResult  69: 1 op, 187500.00 ns, 187.5000 us/op
WorkloadResult  70: 1 op, 189800.00 ns, 189.8000 us/op
WorkloadResult  71: 1 op, 126300.00 ns, 126.3000 us/op
WorkloadResult  72: 1 op, 203900.00 ns, 203.9000 us/op
WorkloadResult  73: 1 op, 264600.00 ns, 264.6000 us/op
WorkloadResult  74: 1 op, 192800.00 ns, 192.8000 us/op
WorkloadResult  75: 1 op, 202800.00 ns, 202.8000 us/op
WorkloadResult  76: 1 op, 217500.00 ns, 217.5000 us/op
WorkloadResult  77: 1 op, 183400.00 ns, 183.4000 us/op
WorkloadResult  78: 1 op, 123300.00 ns, 123.3000 us/op
WorkloadResult  79: 1 op, 240900.00 ns, 240.9000 us/op
WorkloadResult  80: 1 op, 209700.00 ns, 209.7000 us/op
WorkloadResult  81: 1 op, 126300.00 ns, 126.3000 us/op
WorkloadResult  82: 1 op, 126200.00 ns, 126.2000 us/op
WorkloadResult  83: 1 op, 126100.00 ns, 126.1000 us/op
WorkloadResult  84: 1 op, 235100.00 ns, 235.1000 us/op
WorkloadResult  85: 1 op, 215600.00 ns, 215.6000 us/op
WorkloadResult  86: 1 op, 124800.00 ns, 124.8000 us/op
WorkloadResult  87: 1 op, 137900.00 ns, 137.9000 us/op
WorkloadResult  88: 1 op, 129400.00 ns, 129.4000 us/op
WorkloadResult  89: 1 op, 127700.00 ns, 127.7000 us/op
WorkloadResult  90: 1 op, 189200.00 ns, 189.2000 us/op
WorkloadResult  91: 1 op, 216300.00 ns, 216.3000 us/op

// AfterAll
// Benchmark Process 13152 has exited with code 0

Mean = 181.393 μs, StdErr = 3.933 μs (2.17%), N = 91, StdDev = 37.523 μs
Min = 122.300 μs, Q1 = 168.600 μs, Median = 173.000 μs, Q3 = 203.350 μs, Max = 280.000 μs
IQR = 34.750 μs, LowerFence = 116.475 μs, UpperFence = 255.475 μs
ConfidenceInterval = [168.012 μs; 194.775 μs] (CI 99.9%), Margin = 13.381 μs (7.38% of Mean)
Skewness = 0.55, Kurtosis = 3.09, MValue = 3.17

// **************************
// Benchmark: QuickVsInsertBenchmark.QuickSortWithDifferentValues: Job-EJIXGU(InvocationCount=1, UnrollFactor=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "ad3d6880-cd4e-4071-93ee-249f077d411f.dll" --benchmarkName "Oz.QuickVsInsertBenchmark.QuickSortWithDifferentValues" --job "InvocationCount=1, UnrollFactor=1" --benchmarkId 2 in D:\Development\OzWorks\Oz\bin\Debug\netcoreapp3.1\ad3d6880-cd4e-4071-93ee-249f077d411f\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.10 (CoreCLR 4.700.20.51601, CoreFX 4.700.20.51901), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-DVBRLL(InvocationCount=1, UnrollFactor=1)

OverheadJitting  1: 1 op, 318000.00 ns, 318.0000 us/op

System.Reflection.TargetInvocationException: Exception has been thrown by the target of an invocation.
 ---> System.ArgumentOutOfRangeException: 'minValue' cannot be greater than maxValue. (Parameter 'minValue')
   at System.Random.Next(Int32 minValue, Int32 maxValue)
   at Oz.Algorithms.DefaultRandomSource.RandomValue(Int32 minValue, Int32 maxValue) in D:\Development\OzWorks\Oz.Algorithms\DefaultRandomSource.cs:line 27
   at Oz.Algorithms.Numerics.ShuffledArray`1.FillPriorities() in D:\Development\OzWorks\Oz.Algorithms\Numerics\ShuffledArray.cs:line 48
   at Oz.Algorithms.Numerics.ShuffledArray`1..ctor(T[] sourceArray, IRandomSource randomSource) in D:\Development\OzWorks\Oz.Algorithms\Numerics\ShuffledArray.cs:line 24
